Species ,CerebellumSurfaceArea,CerebrumSurfaceArea,CerebellumVolume ,CerebrumVolume,Source,Taxon,,,,,,
Homo_sapiens,,,111.4,1088,MacLeod et al. (2003),Hominidae,,,,,,
Homo_sapiens,,,119.6,1212,,Hominidae,,,,,,
Homo_sapiens,,,148.2,1330,,Hominidae,,,,,,
Homo_sapiens,,,147.2,1334,,Hominidae,,,,,,
Homo_sapiens,,,141.7,1403,,Hominidae,,,,,,
Homo_sapiens,,,154,1426,,Hominidae,,,,,,
Homo_sapiens,,,125.3,1171,,Hominidae,,,,,,
Homo_sapiens,,,182.1,1582.6,,Hominidae,,,,,,
Homo_sapiens,,,138.2,1102.3,,Hominidae,,,,,,
Homo_sapiens,,,133.2,1093.6,,Hominidae,,,,,,
Homo_sapiens,,,136.9,1137.2,,Hominidae,,,,,,
Homo_sapiens,,,138.6,1387.1,,Hominidae,,,,,,
Homo_sapiens,,,132,1176.6,,Hominidae,,,,,,
Homo_sapiens,,,139.8,1264.5,,Hominidae,,,,,,
Homo_sapiens,1590,2038,,,Sereno et al. (2020),Hominidae,,,,,,
Homo_sapiens,1128,,,,Sultan and Braitenberg (1993),Hominidae,,,,,,
Pan_troglodytes,345.545,,52.1,383.22,Ashwell (2020),Hominidae,,,,,,
Pan_troglodytes,,,50.1,343.8,MacLeod et al. (2003),Hominidae,,,,,,
Pan_troglodytes,,,51.4,391.2,,Hominidae,,,,,,
Pan_troglodytes,,,51.8,311.4,,Hominidae,,,,,,
Pan_troglodytes,,,45.7,365.9,,Hominidae,,,,,,
Pan_troglodytes,,,45,282.7,,Hominidae,,,,,,
Pan_troglodytes,,,39.6,328.6,,Hominidae,,,,,,
Pan_troglodytes,,,46.1,317.9,,Hominidae,,,,,,
Pan_troglodytes,,,53.5,405.4,,Hominidae,,,,,,
Pan_troglodytes,,,28.2,265,,Hominidae,,,,,,
Pan_troglodytes,,,56.5,424.7,,Hominidae,,,,,,
Pan_troglodytes,,,47.8,347,,Hominidae,,,,,,
Pan_troglodytes,,,45.3,445,,Hominidae,,,,,,
Pan_troglodytes,,,53.3,405.4,,Hominidae,,,,,,
Pan_troglodytes,,,40.6,333.5,,Hominidae,,,,,,
Pan_paniscus,,,46.1,322.4,MacLeod et al. (2003),Hominidae,,,,,,
Pan_paniscus,,,51.4,331.8,,Hominidae,,,,,,
Pan_paniscus,,,39.7,309.2,,Hominidae,,,,,,
Pan_paniscus,,,39.5,281.4,,Hominidae,,,,,,
Pan_paniscus,,,54.1,378.4,,Hominidae,,,,,,
Pan_paniscus,,,53,312.7,,Hominidae,,,,,,
